Country,1990,1990_lower, 1990_upper, 1990_Footnote, 1991,1991_lower, 1991_upper, 1991_Footnote, 1992,1992_lower, 1992_upper, 1992_Footnote, 1993,1993_lower, 1993_upper, 1993_Footnote, 1994,1994_lower, 1994_upper, 1994_Footnote, 1995,1995_lower, 1995_upper, 1995_Footnote, 1996,1996_lower, 1996_upper, 1996_Footnote, 1997,1997_lower, 1997_upper, 1997_Footnote, 1998,1998_lower, 1998_upper, 1998_Footnote, 1999,1999_lower, 1999_upper, 1999_Footnote, 2000,2000_lower, 2000_upper, 2000_Footnote, 2001,2001_lower, 2001_upper, 2001_Footnote, 2002,2002_lower, 2002_upper, 2002_Footnote, 2003,2003_lower, 2003_upper, 2003_Footnote, 2004,2004_lower, 2004_upper, 2004_Footnote, 2005,2005_lower, 2005_upper, 2005_Footnote, 2006,2006_lower, 2006_upper, 2006_Footnote, 2007,2007_lower, 2007_upper, 2007_Footnote, 2008,2008_lower, 2008_upper, 2008_Footnote, 2009,2009_lower, 2009_upper, 2009_Footnote, 2010,2010_lower, 2010_upper, 2010_Footnote, 2011,2011_lower, 2011_upper, 2011_Footnote, 2012,2012_lower, 2012_upper, 2012_Footnote, 2013,2013_lower, 2013_upper, 2013_Footnote, 2014,2014_lower, 2014_upper, 2014_Footnote, 2015,2015_lower, 2015_upper, 2015_Footnote, 2016,2016_lower, 2016_upper, 2016_Footnote, 2017,2017_lower, 2017_upper, 2017_Footnote, 2018,2018_lower, 2018_upper, 2018_Footnote, 2019,2019_lower, 2019_upper, 2019_Footnote, 2020,2020_lower, 2020_upper, 2020_Footnote
Afghanistan,0.01 ,<0.01 , 0.02,,0.01 ,<0.01 , 0.02,,0.01 ,<0.01 , 0.03,,0.01 ,<0.01 , 0.03,,0.02 ,<0.01 , 0.03,,0.02 ,<0.01 , 0.04,,0.02 ,0.01 , 0.04,,0.02 ,0.01 , 0.05,,0.02 ,0.01 , 0.06,,0.03 ,0.01 , 0.06,,0.03 ,0.02 , 0.07,,0.03 ,0.02 , 0.08,,0.03 ,0.02 , 0.08,,0.04 ,0.02 , 0.08,,0.04 ,0.02 , 0.08,,0.04 ,0.02 , 0.09,,0.04 ,0.02 , 0.09,,0.04 ,0.02 , 0.10,,0.04 ,0.02 , 0.11,,0.05 ,0.02 , 0.12,,0.05 ,0.02 , 0.13,,0.05 ,0.02 , 0.14,,0.06 ,0.02 , 0.16,,0.06 ,0.02 , 0.18,,0.06 ,0.02 , 0.20,,0.06 ,0.02 , 0.23,,0.07 ,0.02 , 0.25,,0.07 ,0.02 , 0.26,,0.07 ,0.02 , 0.26,,0.08 ,0.02 , 0.29,,0.08 ,0.02 , 0.31,
Albania,<0.01 ,<0.01 , <0.01,"Children estimates were not available at the time of publication.",<0.01 ,<0.01 , <0.01,"Children estimates were not available at the time of publication.",<0.01 ,<0.01 , <0.01,"Children estimates were not available at the time of publication.",<0.01 ,<0.01 , <0.01,"Children estimates were not available at the time of publication.",<0.01 ,<0.01 , <0.01,"Children estimates were not available at the time of publication.",<0.01 ,<0.01 , <0.01,"Children estimates were not available at the time of publication.",<0.01 ,<0.01 , <0.01,"Children estimates were not available at the time of publication.",<0.01 ,<0.01 , <0.01,"Children estimates were not available at the time of publication.",<0.01 ,<0.01 , 0.01,"Children estimates were not available at the time of publication.",0.01 ,<0.01 , 0.01,"Children estimates were not available at the time of publication.",0.01 ,0.01 , 0.02,"Children estimates were not available at the time of publication.",0.02 ,0.01 , 0.02,"Children estimates were not available at the time of publication.",0.02 ,0.02 , 0.02,"Children estimates were not available at the time of publication.",0.02 ,0.02 , 0.03,"Children estimates were not available at the time of publication.",0.03 ,0.03 , 0.03,"Children estimates were not available at the time of publication.",0.03 ,0.03 , 0.04,"Children estimates were not available at the time of publication.",0.04 ,0.04 , 0.05,"Children estimates were not available at the time of publication.",0.05 ,0.04 , 0.05,"Children estimates were not available at the time of publication.",0.05 ,0.05 , 0.06,"Children estimates were not available at the time of publication.",0.06 ,0.05 , 0.06,"Children estimates were not available at the time of publication.",0.06 ,0.06 , 0.07,"Children estimates were not available at the time of publication.",0.07 ,0.06 , 0.07,"Children estimates were not available at the time of publication.",0.07 ,0.06 , 0.07,"Children estimates were not available at the time of publication.",0.07 ,0.06 , 0.08,"Children estimates were not available at the time of publication.",0.07 ,0.06 , 0.08,"Children estimates were not available at the time of publication.",0.07 ,0.06 , 0.08,"Children estimates were not available at the time of publication.",0.07 ,0.06 , 0.08,"Children estimates were not available at the time of publication.",0.07 ,0.05 , 0.08,"Children estimates were not available at the time of publication.",0.06 ,0.05 , 0.08,"Children estimates were not available at the time of publication.",0.06 ,0.04 , 0.08,"Children estimates were not available at the time of publication.",0.05 ,0.04 , 0.07,"Children estimates were not available at the time of publication."
Algeria,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , 0.01,,0.01 ,<0.01 , 0.01,,0.01 ,0.01 , 0.01,,0.01 ,0.01 , 0.01,,0.01 ,0.01 , 0.02,,0.02 ,0.01 , 0.02,,0.02 ,0.02 , 0.02,,0.02 ,0.02 , 0.02,,0.02 ,0.02 , 0.02,,0.02 ,0.02 , 0.02,,0.02 ,0.02 , 0.02,,0.02 ,0.02 , 0.02,,0.02 ,0.02 , 0.03,,0.02 ,0.02 , 0.03,,0.03 ,0.02 , 0.03,,0.03 ,0.02 , 0.03,,0.03 ,0.03 , 0.03,,0.03 ,0.03 , 0.04,,0.04 ,0.03 , 0.04,,0.04 ,0.04 , 0.04,,0.05 ,0.04 , 0.05,,0.06 ,0.05 , 0.06,,0.07 ,0.06 , 0.07,,0.07 ,0.06 , 0.08,,0.07 ,0.06 , 0.07,,0.07 ,0.06 , 0.07,,0.06 ,0.06 , 0.07,,0.06 ,0.06 , 0.07,
Angola,0.53 ,0.33 , 0.81,,0.64 ,0.42 , 0.96,,0.78 ,0.53 , 1.14,,0.91 ,0.65 , 1.27,,1.06 ,0.77 , 1.43,,1.21 ,0.89 , 1.58,,1.37 ,1.04 , 1.75,,1.56 ,1.20 , 1.95,,1.69 ,1.34 , 2.08,,1.87 ,1.50 , 2.27,,2.02 ,1.62 , 2.43,,2.10 ,1.70 , 2.52,,2.19 ,1.78 , 2.59,,2.29 ,1.87 , 2.69,,2.35 ,1.93 , 2.79,,2.34 ,1.92 , 2.78,,2.35 ,1.92 , 2.79,,2.25 ,1.83 , 2.65,,2.21 ,1.79 , 2.59,,2.13 ,1.73 , 2.53,,2.04 ,1.63 , 2.42,,1.95 ,1.55 , 2.33,,1.85 ,1.47 , 2.25,,1.75 ,1.38 , 2.14,,1.60 ,1.26 , 1.99,,1.48 ,1.16 , 1.85,,1.39 ,1.07 , 1.75,,1.33 ,1.03 , 1.67,,1.25 ,0.96 , 1.59,,1.17 ,0.90 , 1.51,,1.10 ,0.83 , 1.43,
Argentina,0.26 ,0.23 , 0.31,,0.30 ,0.26 , 0.36,,0.33 ,0.29 , 0.39,,0.34 ,0.31 , 0.39,,0.34 ,0.32 , 0.38,,0.34 ,0.32 , 0.36,,0.33 ,0.31 , 0.35,,0.32 ,0.30 , 0.34,,0.31 ,0.29 , 0.33,,0.29 ,0.27 , 0.31,,0.28 ,0.26 , 0.30,,0.28 ,0.26 , 0.29,,0.27 ,0.26 , 0.28,,0.27 ,0.26 , 0.28,,0.27 ,0.26 , 0.28,,0.27 ,0.26 , 0.28,,0.27 ,0.26 , 0.28,,0.27 ,0.26 , 0.28,,0.27 ,0.26 , 0.28,,0.27 ,0.25 , 0.28,,0.27 ,0.25 , 0.28,,0.26 ,0.25 , 0.28,,0.26 ,0.24 , 0.28,,0.26 ,0.24 , 0.28,,0.25 ,0.23 , 0.27,,0.25 ,0.23 , 0.27,,0.25 ,0.22 , 0.27,,0.24 ,0.22 , 0.27,,0.24 ,0.21 , 0.26,,0.23 ,0.20 , 0.26,,0.22 ,0.19 , 0.25,
Armenia,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , <0.01,,<0.01 ,<0.01 , 0.02,,<0.01 ,<0.01 , 0.04,,0.02 ,<0.01 , 0.08,,0.03 ,<0.01 , 0.14,,0.05 ,0.02 , 0.21,,0.08 ,0.03 , 0.27,,0.13 ,0.05 , 0.31,,0.17 ,0.08 , 0.33,,0.22 ,0.13 , 0.36,,0.26 ,0.18 , 0.39,,0.31 ,0.21 , 0.44,,0.34 ,0.24 , 0.44,,0.34 ,0.25 , 0.44,,0.32 ,0.25 , 0.39,,0.29 ,0.22 , 0.35,,0.25 ,0.20 , 0.31,,0.21 ,0.17 , 0.26,,0.18 ,0.14 , 0.22,,0.15 ,0.13 , 0.19,,0.14 ,0.12 , 0.17,,0.13 ,0.11 , 0.16,,0.13 ,0.11 , 0.16,,0.14 ,0.11 , 0.17,,0.14 ,0.12 , 0.18,,0.15 ,0.13 , 0.19,,0.16 ,0.13 , 0.20,,0.17 ,0.14 , 0.22,,0.18 ,0.14 , 0.23,,0.19 ,0.15 , 0.25,
Australia,0.14 ,0.11 , 0.16,"Children estimates were not available at the time of publication.",0.12 ,0.10 , 0.14,"Children estimates were not available at the time of publication.",0.11 ,0.09 , 0.12,"Children estimates were not available at the time of publication.",0.10 ,0.08 , 0.11,"Children estimates were not available at the time of publication.",0.09 ,0.07 , 0.10,"Children estimates were not available at the time of publication.",0.08 ,0.07 , 0.09,"Children estimates were not available at the time of publication.",0.07 ,0.06 , 0.09,"Children estimates were not available at the time of publication.",0.07 ,0.06 , 0.08,"Children estimates were not available at the time of publication.",0.07 ,0.05 , 0.08,"Children estimates were not available at the time of publication.",0.06 ,0.05 , 0.07,"Children estimates were not available at the time of publication.",0.06 ,0.05 , 0.07,"Children estimates were not available at the time of publication.",0.06 ,0.05 , 0.07,"Children estimates were not available at the time of publication.",0.06 ,0.05 , 0.07,"Children estimates were not available at the time of publication.",0.06 ,0.05 , 0.07,"Children estimates were not available at the time of publication.",0.07 ,0.05 , 0.08,"Children estimates were not available at the time of publication.",0.07 ,0.06 , 0.08,"Children estimates were not available at the time of publication.",0.07 ,0.06 , 0.08,"Children estimates were not available at the time of publication.",0.08 ,0.06 , 0.09,"Children estimates were not available at the time of publication.",0.08 ,0.07 , 0.09,"Children estimates were not available at the time of publication.",0.08 ,0.07 , 0.10,"Children estimates were not available at the time of publication.",0.09 ,0.07 , 0.10,"Children estimates were not available at the time of publication.",0.09 ,0.07 , 0.10,"Children estimates were not available at the time of publication.",0.09 ,0.07 , 0.10,"Children estimates were not available at the time of publication.",0.08 ,0.07 , 0.10,"Children estimates were not available at the time of publication.",0.08 ,0.07 , 0.09,"Children estimates were not available at the time of publication.",0.08 ,0.07 , 0.09,"Children estimates were not available at the time of publication.",0.08 ,0.06 , 0.09,"Children estimates were not available at the time of publication.",0.07 ,0.06 , 0.08,"Children estimates were not available at the time of publication.",0.07 ,0.06 , 0.08,"Children estimates were not available at the time of publication.",0.06 ,0.05 , 0.07,"Children estimates were not available at the time of publication.",0.06 ,0.05 , 0.07,"Children estimates were not available at the time of publication."
Austria,... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication.",... ,... , ...,"Children estimates were not available at the time of publication."
Azerbaijan,<0.01 ,<0.01 , 0.03,,0.01 ,<0.01 , 0.04,,0.02 ,<0.01 , 0.06,,0.03 ,<0.01 , 0.08,,0.04 ,<0.01 , 0.12,,0.06 ,0.01 , 0.20,,0.10 ,0.02 , 0.37,,0.13 ,0.03 , 0.50,,0.17 ,0.04 , 0.51,,0.21 ,0.06 , 0.48,,0.24 ,0.10 , 0.44,,0.23 ,0.11 , 0.39,,0.22 ,0.12 , 0.35,,0.20 ,0.11 , 0.34,,0.17 ,0.10 , 0.32,,0.17 ,0.10 , 0.35,,0.16 ,0.10 , 0.31,,0.15 ,0.10 , 0.26,,0.13 ,0.08 , 0.20,,0.13 ,0.08 , 0.18,,0.11 ,0.07 , 0.15,,0.11 ,0.07 , 0.14,,0.10 ,0.06 , 0.13,,0.10 ,0.06 , 0.12,,0.09 ,0.05 , 0.12,,0.09 ,0.05 , 0.11,,0.09 ,0.05 , 0.11,,0.08 ,0.04 , 0.11,,0.08 ,0.04 , 0.10,,0.07 ,0.04 , 0.10,,0.07 ,0.04 , 0.10,
Bahamas,2.90 ,2.62 , 3.07,"Children estimates were not available at the time of publication.",2.85 ,2.58 , 3.02,"Children estimates were not available at the time of publication.",2.73 ,2.47 , 2.90,"Children estimates were not available at the time of publication.",2.57 ,2.32 , 2.74,"Children estimates were not available at the time of publication.",2.40 ,2.16 , 2.58,"Children estimates were not available at the time of publication.",2.24 ,2.01 , 2.41,"Children estimates were not available at the time of publication.",2.08 ,1.87 , 2.24,"Children estimates were not available at the time of publication.",1.94 ,1.73 , 2.09,"Children estimates were not available at the time of publication.",1.81 ,1.62 , 1.96,"Children estimates were not available at the time of publication.",1.70 ,1.51 , 1.84,"Children estimates were not available at the time of publication.",1.59 ,1.42 , 1.74,"Children estimates were not available at the time of publication.",1.50 ,1.34 , 1.64,"Children estimates were not available at the time of publication.",1.41 ,1.26 , 1.54,"Children estimates were not available at the time of publication.",1.31 ,1.16 , 1.44,"Children estimates were not available at the time of publication.",1.14 ,1.00 , 1.25,"Children estimates were not available at the time of publication.",1.06 ,0.93 , 1.17,"Children estimates were not available at the time of publication.",1.00 ,0.88 , 1.10,"Children estimates were not available at the time of publication.",0.92 ,0.81 , 1.02,"Children estimates were not available at the time of publication.",0.89 ,0.78 , 0.98,"Children estimates were not available at the time of publication.",0.83 ,0.73 , 0.92,"Children estimates were not available at the time of publication.",0.78 ,0.68 , 0.86,"Children estimates were not available at the time of publication.",0.76 ,0.66 , 0.84,"Children estimates were not available at the time of publication.",0.74 ,0.65 , 0.82,"Children estimates were not available at the time of publication.",0.72 ,0.63 , 0.79,"Children estimates were not available at the time of publication.",0.66 ,0.58 , 0.73,"Children estimates were not available at the time of publication.",0.58 ,0.51 , 0.65,"Children estimates were not available at the time of publication.",0.56 ,0.49 , 0.63,"Children estimates were not available at the time of publication.",0.54 ,0.47 , 0.60,"Children estimates were not available at the time of publication.",0.44 ,0.38 , 0.50,"Children estimates were not available at the time of publication.",0.40 ,0.35 , 0.45,"Children estimates were not available at the time of publication.",0.39 ,0.35 , 0.44,"Children estimates were not available at the time of publication."
