"","Estimate","Est.Error","Q2.5","Q97.5","iso3c"
"AFG",0.0841363653218774,0.0444913170959844,-0.00414861065650002,0.168096532245661,"AFG"
"AGO",0.113356980323903,0.0448930134129922,0.0279150056324704,0.203161409167247,"AGO"
"ALB",0.0833029829935159,0.044537458123946,-0.00233943648120849,0.169190953601092,"ALB"
"ARG",0.0778935320004285,0.0446954121681109,-0.0106200704346618,0.164460843121484,"ARG"
"ARM",0.0872766947524592,0.0454058280622751,-0.00376040696158307,0.178064025510049,"ARM"
"AZE",0.0828793630944299,0.0450895712445805,-0.00386180967321751,0.173304340739773,"AZE"
"BDI",-0.170558674579721,0.0431549495464371,-0.253681853120451,-0.0870901800802345,"BDI"
"BEN",0.017177383771074,0.0446293594038638,-0.0672896343728348,0.104677610964067,"BEN"
"BFA",-0.0398980522841836,0.0444406016541025,-0.129318399253952,0.0472185642517459,"BFA"
"BLR",0.100395991524658,0.0453651328350137,0.005978140351212,0.19071541644246,"BLR"
"BLZ",0.0843538615527488,0.0444035560692456,-0.00503673241243489,0.169432056676581,"BLZ"
"BOL",0.0795507308821853,0.0462790819379424,-0.0150472314572803,0.16647070753042,"BOL"
"BTN",0.0854293804885791,0.0444217826248281,-0.00233603404279959,0.171111691714936,"BTN"
"BWA",-1.36407694701521,0.044758107442431,-1.45435187870719,-1.27935634762203,"BWA"
"CHL",0.0905918557877725,0.0462958374666233,0.00358617142966202,0.181802035428959,"CHL"
"CIV",-0.378572589530805,0.0461554848563508,-0.472269395170126,-0.287718986453001,"CIV"
"CMR",-0.0752300751694316,0.0457468967193881,-0.166497079688247,0.0147409173138938,"CMR"
"COD",0.0125795303719655,0.0437753661424996,-0.0759081670606684,0.0975278231750761,"COD"
"COG",-0.0903849972112775,0.0449547609879581,-0.179728348768564,0.0029183928846013,"COG"
"COL",0.0728162851171179,0.0449662732074057,-0.0164473577595597,0.162776038945133,"COL"
"COM",0.0830048322474321,0.0444744931607165,-0.00394146003662868,0.171755713286328,"COM"
"CRI",0.0868890950346822,0.0459201197838504,-0.00120163128689301,0.179228769482206,"CRI"
"CUB",0.0964322467710534,0.0447600044403591,0.0092963268786768,0.181182700937686,"CUB"
"DJI",-0.0624751772884683,0.0439599189164475,-0.147690773488522,0.0223211996727052,"DJI"
